combination,loss,epoch,training_encoder_time
"[22, 2, 16, [8, 4], 'tanh', 0.9, 0.9, 0.95]",1.698465241,697,3859
"[22, 2, 16, [8, 4], 'tanh', 0.9, 0.9, 0.9]",0.696309923,1000,5476
"[22, 2, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.95]",0.290509728,1000,5548
"[22, 2, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.9]",0.711034115,1000,5606
"[22, 2, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.95]",0.730610602,632,3575
"[22, 2, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.9]",0.769550499,1000,5457
"[22, 2, 16, [16, 8], 'tanh', 0.95, 0.9, 0.95]",1.564642759,373,2070
"[22, 2, 16, [16, 8], 'tanh', 0.95, 0.9, 0.9]",0.683145011,401,2234
"[22, 2, 16, [16, 8], 'tanh', 0.9, 0.9, 0.95]",0.289950221,113,629
"[22, 2, 16, [16, 8], 'tanh', 0.9, 0.9, 0.9]",1.416172343,158,872
"[22, 2, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.95]",1.552261891,837,4636
"[22, 2, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.9]",0.914051794,377,2080
"[22, 2, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.95]",1.626109377,549,6294
"[22, 2, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.9]",1.595998098,505,2776
"[22, 2, 32, [16], 'tanh', 0.95, 0.9, 0.95]",0.388327015,294,501
"[22, 2, 32, [16], 'tanh', 0.95, 0.9, 0.9]",0.293915631,1000,1707
"[22, 2, 32, [16], 'tanh', 0.9, 0.9, 0.95]",0.422070987,1000,1718
"[22, 2, 32, [16], 'tanh', 0.9, 0.9, 0.9]",0.357436009,1000,1693
"[22, 2, 32, [16], 'sigmoid', 0.95, 0.9, 0.95]",0.88413463,973,1673
"[22, 2, 32, [16], 'sigmoid', 0.95, 0.9, 0.9]",0.447609086,859,1478
"[22, 2, 32, [16], 'sigmoid', 0.9, 0.9, 0.95]",0.353459833,965,1681
"[22, 2, 32, [16], 'sigmoid', 0.9, 0.9, 0.9]",0.896478161,309,530
"[22, 2, 32, [32], 'tanh', 0.95, 0.9, 0.95]",0.306362452,1000,1896
"[22, 2, 32, [32], 'tanh', 0.95, 0.9, 0.9]",0.590732235,626,1179
"[22, 2, 32, [32], 'tanh', 0.9, 0.9, 0.95]",0.444095553,1000,1898
"[22, 2, 32, [32], 'tanh', 0.9, 0.9, 0.9]",0.507793347,567,1073
"[22, 2, 32, [32], 'sigmoid', 0.95, 0.9, 0.95]",0.578797527,343,651
"[22, 2, 32, [32], 'sigmoid', 0.95, 0.9, 0.9]",0.544312382,485,919
"[22, 2, 32, [32], 'sigmoid', 0.9, 0.9, 0.95]",1.365277635,788,-84902
"[22, 2, 32, [32], 'sigmoid', 0.9, 0.9, 0.9]",1.397022979,14,27
